Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
25.01.2020;Hollywood;Los Angeles;*;Commercial;Deck Of Cards;Games;45;$315;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;LAX;Sports & Outdoors;#REF!
26.01.2020;Hollywood;Los Angeles;;Commercial;Dino Egg;Toys;142;$1.561;$142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;LAX;Art & Crafts;#REF!
27.01.2020;Hollywood;Los Angeles;;Commercial;Dinosaur Figures;Toys;30;$450;$120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Lincoln Park;Toys;#REF!
28.01.2020;Hollywood;Los Angeles;&;Commercial;Glass Marbles;Games;22;$242;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Lincoln Park;Games;#REF!
29.01.2020;Hollywood;Los Angeles;;Commercial;Kids Makeup Kit;Art & Crafts;19;$380;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Lincoln Park;Electronics;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;Lego Bricks;Toys;17;$680;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Lincoln Park;Sports & Outdoors;#REF!
30.01.2020;Hollywood;Los Angeles;^;Commercial;Nerf Gun;Sports & Outdoors;66;$1.319;$330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Lincoln Park;Art & Crafts;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Can;Art & Crafts;27;$81;$27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Michigan Ave;Toys;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Toolkit;Art & Crafts;35;$175;$35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Michigan Ave;Games;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;Rubik's Cube;Games;44;$880;$88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Michigan Ave;Electronics;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;Splash Balls;Sports & Outdoors;78;$701;$78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Michigan Ave;Sports & Outdoors;#REF!
30.01.2020;Hollywood;Los Angeles;;Commercial;Toy Robot;Electronics;17;$442;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Michigan Ave;Art & Crafts;#REF!
30.01.2020;Times Square;New York;;Downtown;Action Figure;Toys;59;$943;$354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Millenium;Toys;#REF!
30.01.2020;Times Square;New York;;Downtown;Animal Figures;Toys;24;$312;$72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Millenium;Games;#REF!
30.01.2020;Times Square;New York;;Downtown;Chutes & Ladders;Games;3;$39;$9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Millenium;Electronics;#REF!
30.01.2020;Times Square;New York;;Downtown;Classic Dominoes;Games;19;$190;$38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Millenium;Sports & Outdoors;#REF!
30.01.2020;Times Square;New York;;Downtown;Colorbuds;Electronics;336;$5.037;$2.688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;Millenium;Art & Crafts;#REF!
30.01.2020;Times Square;New York;;Downtown;Dart Gun;Sports & Outdoors;58;$927;$232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;O'Hare;Toys;#REF!
30.01.2020;Times Square;New York;;Downtown;Deck Of Cards;Games;101;$706;$303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;O'Hare;Games;#REF!
30.01.2020;Times Square;New York;;Downtown;Dino Egg;Toys;44;$484;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;O'Hare;Electronics;#REF!
30.01.2020;Times Square;New York;;Downtown;Dinosaur Figures;Toys;88;$1.319;$352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;O'Hare;Sports & Outdoors;#REF!
30.01.2020;Times Square;New York;;Downtown;Glass Marbles;Games;23;$253;$115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chicago;O'Hare;Art & Crafts;#REF!
30.01.2020;Times Square;New York;;Downtown;Kids Makeup Kit;Art & Crafts;10;$200;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Times Square;Toys;#REF!
30.01.2020;Times Square;New York;;Downtown;Lego Bricks;Toys;19;$760;$95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Times Square;Games;#REF!
30.01.2020;Times Square;New York;;Downtown;Basketball Hoop;Sports & Outdoors;7;$175;$112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Times Square;Electronics;#REF!
30.01.2020;Times Square;New York;;Downtown;Mini Ping Pong;Sports & Outdoors;13;$130;$39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Times Square;Sports & Outdoors;#REF!
30.01.2020;Times Square;New York;;Downtown;Monopoly;Games;24;$480;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Times Square;Art & Crafts;#REF!
30.01.2020;Times Square;New York;;Downtown;Nerf Gun;Sports & Outdoors;11;$220;$55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Times Square;New York;;Downtown;PlayDoh Can;Art & Crafts;37;$111;$37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Times Square;New York;;Downtown;PlayDoh Toolkit;Art & Crafts;17;$85;$17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Times Square;New York;;Downtown;Rubik's Cube;Games;50;$1.000;$100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Times Square;New York;;Downtown;Splash Balls;Sports & Outdoors;54;$485;$54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Action Figure;Toys;177;$2.830;$1.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Animal Figures;Toys;50;$650;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Colorbuds;Electronics;146;$2.189;$1.168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Dart Gun;Sports & Outdoors;137;$2.191;$548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Deck Of Cards;Games;135;$944;$405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Dino Egg;Toys;36;$396;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Glass Marbles;Games;77;$846;$385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Kids Makeup Kit;Art & Crafts;3;$60;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Lego Bricks;Toys;141;$5.639;$705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Nerf Gun;Sports & Outdoors;101;$2.019;$505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;PlayDoh Can;Art & Crafts;115;$344;$115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;PlayDoh Toolkit;Art & Crafts;110;$549;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Rubik's Cube;Games;77;$1.539;$154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Splash Balls;Sports & Outdoors;36;$324;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Teddy Bear;Toys;26;$338;$52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Millenium;Chicago;;Downtown;Toy Robot;Electronics;57;$1.481;$285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Animal Figures;Toys;70;$909;$210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Colorbuds;Electronics;289;$4.332;$2.312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Dart Gun;Sports & Outdoors;43;$688;$172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Deck Of Cards;Games;43;$301;$129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Dino Egg;Toys;34;$374;$34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Dinosaur Figures;Toys;18;$270;$72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Glass Marbles;Games;79;$868;$395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Kids Makeup Kit;Art & Crafts;28;$560;$168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Lego Bricks;Toys;42;$1.680;$210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Nerf Gun;Sports & Outdoors;50;$1.000;$250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;PlayDoh Can;Art & Crafts;64;$191;$64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;PlayDoh Toolkit;Art & Crafts;53;$264;$53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Rubik's Cube;Games;68;$1.359;$136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Splash Balls;Sports & Outdoors;26;$234;$26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Teddy Bear;Toys;22;$286;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;LAX;Los Angeles;;Airport;Toy Robot;Electronics;5;$130;$25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Action Figure;Toys;57;$911;$342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Animal Figures;Toys;21;$273;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Colorbuds;Electronics;402;$6.026;$3.216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Dart Gun;Sports & Outdoors;25;$400;$100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Deck Of Cards;Games;189;$1.321;$567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Dino Egg;Toys;84;$923;$84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Glass Marbles;Games;285;$3.132;$1.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Kids Makeup Kit;Art & Crafts;4;$80;$24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Lego Bricks;Toys;80;$3.199;$400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Nerf Gun;Sports & Outdoors;59;$1.179;$295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;PlayDoh Can;Art & Crafts;47;$141;$47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;PlayDoh Toolkit;Art & Crafts;40;$200;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Rubik's Cube;Games;18;$360;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;O'Hare;Chicago;;Airport;Splash Balls;Sports & Outdoors;44;$396;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Action Figure;Toys;3;$48;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Animal Figures;Toys;25;$325;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Chutes & Ladders;Games;4;$52;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Colorbuds;Electronics;286;$4.287;$2.288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Dart Gun;Sports & Outdoors;61;$975;$244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Deck Of Cards;Games;50;$350;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Dinosaur Figures;Toys;11;$165;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Glass Marbles;Games;42;$462;$210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Lego Bricks;Toys;5;$200;$25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Basketball Hoop;Sports & Outdoors;5;$125;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Mini Ping Pong;Sports & Outdoors;7;$70;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Nerf Gun;Sports & Outdoors;29;$580;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;PlayDoh Can;Art & Crafts;2;$6;$2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;PlayDoh Toolkit;Art & Crafts;62;$309;$62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Rubik's Cube;Games;10;$200;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Splash Balls;Sports & Outdoors;14;$126;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Teddy Bear;Toys;17;$221;$34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Toy Robot;Electronics;16;$416;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;JFK;New York;;Airport;Uno Card Game;Games;5;$40;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Action Figure;Toys;73;$1.167;$438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Animal Figures;Toys;49;$637;$147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Chutes & Ladders;Games;17;$221;$51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Classic Dominoes;Games;25;$250;$50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Colorbuds;Electronics;87;$1.304;$696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Dart Gun;Sports & Outdoors;20;$320;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Deck Of Cards;Games;187;$1.307;$561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Dino Egg;Toys;110;$1.209;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Glass Marbles;Games;15;$165;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Kids Makeup Kit;Art & Crafts;82;$1.639;$492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Lego Bricks;Toys;28;$1.120;$140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Basketball Hoop;Sports & Outdoors;1;$25;$16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Mini Ping Pong;Sports & Outdoors;89;$889;$267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Monopoly;Games;18;$360;$108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Nerf Gun;Sports & Outdoors;27;$540;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;PlayDoh Toolkit;Art & Crafts;18;$90;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Rubik's Cube;Games;64;$1.279;$128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Splash Balls;Sports & Outdoors;27;$243;$27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.2020;Lincoln Park;Chicago;;Residential;Toy Robot;Electronics;31;$806;$155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
